system:index,LST,Latitude,Longitude,NDBI,NDVI,.geo
1166,46.56813593000004,19.82387575837818,75.54450646039261,0.06542560366922973,0.20152618799861255,"{""type"":""Point"",""coordinates"":[75.54450646039261,19.82387575837818]}"
1167,44.81298265999999,19.953541227354663,75.27277235180372,0.07458774707873758,0.15433864596104074,"{""type"":""Point"",""coordinates"":[75.27277235180372,19.953541227354663]}"
1168,40.220872790000044,19.991640567023712,75.21599334556315,-0.06968766925437804,0.2153846153846154,"{""type"":""Point"",""coordinates"":[75.21599334556315,19.991640567023712]}"
1169,42.04609547000001,19.89426665015631,75.32484212969909,-0.012725441728462877,0.2397175837722739,"{""type"":""Point"",""coordinates"":[75.32484212969909,19.89426665015631]}"
1170,43.35177911000005,19.836494912967126,75.4146755103076,0.07292455210698966,0.18938167691809646,"{""type"":""Point"",""coordinates"":[75.4146755103076,19.836494912967126]}"
1171,41.35394642000006,19.852321624714584,75.25950612854653,0.038403451995685005,0.15826403326403327,"{""type"":""Point"",""coordinates"":[75.25950612854653,19.852321624714584]}"
1172,40.54387568000004,19.987033528245707,75.23066460704189,0.0013321492007104796,0.18984216559386297,"{""type"":""Point"",""coordinates"":[75.23066460704189,19.987033528245707]}"
1173,47.59695995000004,20.031598316777057,75.46620881388576,0.12723754233188195,0.12241406128480324,"{""type"":""Point"",""coordinates"":[75.46620881388576,20.031598316777057]}"
1174,37.248904400000015,19.945396594896952,75.36175998179263,-0.02082342873442997,0.2816043929807807,"{""type"":""Point"",""coordinates"":[75.36175998179263,19.945396594896952]}"
1175,37.79236958000001,19.786714118156514,75.44643834647776,-0.014913734282093772,0.28941176470588237,"{""type"":""Point"",""coordinates"":[75.44643834647776,19.786714118156514]}"
1176,41.589789800000005,19.85645235310131,75.53164940868098,0.022452504317789293,0.3414441459946279,"{""type"":""Point"",""coordinates"":[75.53164940868098,19.85645235310131]}"
1177,41.31463918999998,19.867727151781573,75.34595297626093,0.03722183414828859,0.1521375686649152,"{""type"":""Point"",""coordinates"":[75.34595297626093,19.867727151781573]}"
1178,35.42026370000002,19.79346739499224,75.23462789896638,-0.2448326055312955,0.5794139374538291,"{""type"":""Point"",""coordinates"":[75.23462789896638,19.79346739499224]}"
1179,40.84124342000001,19.761183934742384,75.25331047850311,0.11925395629238884,0.21586475942782835,"{""type"":""Point"",""coordinates"":[75.25331047850311,19.761183934742384]}"
1180,41.10101294000003,19.89197435089295,75.17750882956938,-0.08528906697195192,0.3595296142263015,"{""type"":""Point"",""coordinates"":[75.17750882956938,19.89197435089295]}"
1181,41.589789800000005,19.79719273669337,75.22698742071199,0.08714043993231811,0.07778748907479086,"{""type"":""Point"",""coordinates"":[75.22698742071199,19.79719273669337]}"
1182,43.15182493999998,20.021486104857395,75.45522211952436,0.06572336716907619,0.14573117062743618,"{""type"":""Point"",""coordinates"":[75.45522211952436,20.021486104857395]}"
1183,38.38368704000004,19.794539786752704,75.21175654312043,-0.1344013032853652,0.2944335433233502,"{""type"":""Point"",""coordinates"":[75.21175654312043,19.794539786752704]}"
1184,46.807397330000015,20.028373526317495,75.32994755908912,0.11622464898595944,0.18592175847180425,"{""type"":""Point"",""coordinates"":[75.32994755908912,20.028373526317495]}"
1185,43.17233306000003,20.003856048999904,75.37148822112299,0.16847768751978057,0.1409959467284308,"{""type"":""Point"",""coordinates"":[75.37148822112299,20.003856048999904]}"
1186,45.718757960000005,19.836312490306923,75.37063838895011,0.07951380096226893,0.1850040749796251,"{""type"":""Point"",""coordinates"":[75.37063838895011,19.836312490306923]}"
1187,46.180190659999994,19.864893328705534,75.23163598642832,0.12728278915329275,0.20243995425085778,"{""type"":""Point"",""coordinates"":[75.23163598642832,19.864893328705534]}"
1188,44.20970212999998,19.74312211119475,75.24774639113323,0.023283870189407647,0.24726544446156215,"{""type"":""Point"",""coordinates"":[75.24774639113323,19.74312211119475]}"
1189,43.44064763000006,19.756072877775686,75.28642479596438,0.06999143835616438,0.07138453951423993,"{""type"":""Point"",""coordinates"":[75.28642479596438,19.756072877775686]}"
1190,43.47482782999998,19.77866274793293,75.35148543353709,0.09207161125319693,0.1652078774617068,"{""type"":""Point"",""coordinates"":[75.35148543353709,19.77866274793293]}"
1191,41.95380893000004,19.826721512661784,75.20248118360809,0.03391017305191558,0.22006063668519454,"{""type"":""Point"",""coordinates"":[75.20248118360809,19.826721512661784]}"
1192,49.18975727000003,19.93196828811822,75.55400551567578,0.1014179023703864,0.1945323741007194,"{""type"":""Point"",""coordinates"":[75.55400551567578,19.93196828811822]}"
1193,41.49066721999998,19.994038367653292,75.52409308437609,0.047844063792085056,0.19377931374969143,"{""type"":""Point"",""coordinates"":[75.52409308437609,19.994038367653292]}"
1194,40.42937201000001,19.727573931979514,75.25154720187467,-0.07713182340048012,0.38691036151054964,"{""type"":""Point"",""coordinates"":[75.25154720187467,19.727573931979514]}"
1195,40.384937750000006,19.826663880279682,75.47068796968891,-0.17269076305220885,0.534357316087308,"{""type"":""Point"",""coordinates"":[75.47068796968891,19.826663880279682]}"
1196,45.17700179000002,19.893474143845957,75.39197924331697,0.08361204013377926,0.0603458701173056,"{""type"":""Point"",""coordinates"":[75.39197924331697,19.893474143845957]}"
1197,45.633307460000026,19.729477855163537,75.41595742942685,0.1260053619302949,0.30065545739526933,"{""type"":""Point"",""coordinates"":[75.41595742942685,19.729477855163537]}"
1198,46.34938265000005,19.924532584528343,75.32740201325196,0.04526946107784431,0.12186884323107233,"{""type"":""Point"",""coordinates"":[75.32740201325196,19.924532584528343]}"
1199,44.73949522999999,20.030869792128723,75.4800951926368,0.09620493358633776,0.18203251023700212,"{""type"":""Point"",""coordinates"":[75.4800951926368,20.030869792128723]}"
1200,42.39131549000001,19.797425863036167,75.21014935263693,0.09233511586452763,0.18034306907742234,"{""type"":""Point"",""coordinates"":[75.21014935263693,19.797425863036167]}"
1201,41.35907344999998,19.919130030574618,75.37189044485501,0.027270272702727028,0.19995559009659153,"{""type"":""Point"",""coordinates"":[75.37189044485501,19.919130030574618]}"
1202,35.38608350000004,20.005598128180576,75.15357464477307,-0.181387181738367,0.5173658096526839,"{""type"":""Point"",""coordinates"":[75.15357464477307,20.005598128180576]}"
1203,42.608359759999985,19.88389647062605,75.15575175487669,-0.10130434782608695,0.2566042415974203,"{""type"":""Point"",""coordinates"":[75.15575175487669,19.88389647062605]}"
1204,42.34859024000002,19.910748360194585,75.42135491940341,-0.14276109367996415,0.3553960659223817,"{""type"":""Point"",""coordinates"":[75.42135491940341,19.910748360194585]}"
1205,49.545231349999995,19.74957167294683,75.4163673260092,0.12212389380530973,0.08803743784732378,"{""type"":""Point"",""coordinates"":[75.4163673260092,19.74957167294683]}"
1206,44.77025741,19.795158303949247,75.22051903406937,0.04341957255343082,0.11192468619246862,"{""type"":""Point"",""coordinates"":[75.22051903406937,19.795158303949247]}"
1207,40.84124342000001,19.727930949707407,75.29819686765441,-0.02494087293055257,0.20211827007943514,"{""type"":""Point"",""coordinates"":[75.29819686765441,19.727930949707407]}"
1208,39.672280580000006,19.997152835228576,75.43253371410981,0.08956748779657168,0.22088597960115694,"{""type"":""Point"",""coordinates"":[75.43253371410981,19.997152835228576]}"
1209,44.73778622000003,19.86183588196807,75.25994019767268,0.15573859325891407,0.23142586152386974,"{""type"":""Point"",""coordinates"":[75.25994019767268,19.86183588196807]}"
1210,47.132109230000026,19.839345210770833,75.39881734824584,0.10525264629518674,0.19371169730881962,"{""type"":""Point"",""coordinates"":[75.39881734824584,19.839345210770833]}"
1211,44.437000460000036,19.885517202279335,75.49886018009339,0.06636255023351798,0.1566200215285253,"{""type"":""Point"",""coordinates"":[75.49886018009339,19.885517202279335]}"
1212,36.640496840000026,19.904332810086853,75.33539325619144,-0.011527004274057765,0.2881411842322283,"{""type"":""Point"",""coordinates"":[75.33539325619144,19.904332810086853]}"
1213,40.79339114000004,19.86747599655191,75.33094778155301,-0.008481421647819063,0.28396966191027123,"{""type"":""Point"",""coordinates"":[75.33094778155301,19.86747599655191]}"
1214,47.16970745000003,19.77023692290374,75.3965375730077,0.009034961372266597,0.18564938116872945,"{""type"":""Point"",""coordinates"":[75.3965375730077,19.77023692290374]}"
1215,40.93182095000003,19.893652667248364,75.33932307189676,-0.06701846965699208,0.3652937204591492,"{""type"":""Point"",""coordinates"":[75.33932307189676,19.893652667248364]}"
1216,42.96383384000001,20.02630435908834,75.35870313064264,0.14274721046556368,0.2899117093645969,"{""type"":""Point"",""coordinates"":[75.35870313064264,20.02630435908834]}"
1217,45.031735939999976,19.99498979460515,75.18235533462321,0.10294852573713144,0.12857591952216285,"{""type"":""Point"",""coordinates"":[75.18235533462321,19.99498979460515]}"
1218,46.88259377000003,19.990289087696205,75.38519099295699,0.13521493703864523,0.22695909314933466,"{""type"":""Point"",""coordinates"":[75.38519099295699,19.990289087696205]}"
1219,47.54910767000001,19.97853459834779,75.37051077068294,0.10587326120556415,0.15483468496568933,"{""type"":""Point"",""coordinates"":[75.37051077068294,19.97853459834779]}"
1220,46.53395573,19.890886696033593,75.54229011942608,0.024662057579197195,0.23458725182863113,"{""type"":""Point"",""coordinates"":[75.54229011942608,19.890886696033593]}"
