system:index,Elevation,LST,Latitude,Longitude,NDBI,NDVI,Population,.geo
7774,559,40.17472952000003,19.90866885287755,75.18727992343558,-0.1359180035650624,0.3980529274646922,1.4262239933013916,"{""type"":""Point"",""coordinates"":[75.18727992343558,19.90866885287755]}"
7775,490,40.237962890000006,19.72977270681364,75.2431758317592,-0.005688088971899143,0.23370131222661947,1.3487718105316162,"{""type"":""Point"",""coordinates"":[75.2431758317592,19.72977270681364]}"
7776,656,38.000868800000035,19.973972966413978,75.34855136141563,-0.10647551546391752,0.3890798786653185,4.660823822021484,"{""type"":""Point"",""coordinates"":[75.34855136141563,19.973972966413978]}"
7777,678,37.61292352999999,20.03640258874544,75.42193420270031,-0.13124737505249895,0.5293115684882895,3.144202709197998,"{""type"":""Point"",""coordinates"":[75.42193420270031,20.03640258874544]}"
7778,583,44.40965630000005,19.911666894841314,75.26947226854254,0.07629804176484928,0.24267599475295146,9.23430347442627,"{""type"":""Point"",""coordinates"":[75.26947226854254,19.911666894841314]}"
7779,715,44.85228989000001,20.00477914902636,75.4890091011886,0.11024411994203545,0.2803978184151428,2.144476890563965,"{""type"":""Point"",""coordinates"":[75.4890091011886,20.00477914902636]}"
7780,714,46.077650059999996,19.982195369132942,75.19552870096805,0.19772218073188946,0.21745289701090806,2.1297900676727295,"{""type"":""Point"",""coordinates"":[75.19552870096805,19.982195369132942]}"
7781,669,46.77150812000002,19.814244566127677,75.37065765277393,0.03378767517757727,0.20219753971097576,3.0710856914520264,"{""type"":""Point"",""coordinates"":[75.37065765277393,19.814244566127677]}"
7782,553,46.67922157999999,19.831089465987038,75.53392532824488,-0.011944033670799681,0.2604137149334089,3.2358810901641846,"{""type"":""Point"",""coordinates"":[75.53392532824488,19.831089465987038]}"
7783,650,48.162642259999984,19.765897209688074,75.39300522561815,0.08126178638779359,0.1779316408396527,1.6014174222946167,"{""type"":""Point"",""coordinates"":[75.39300522561815,19.765897209688074]}"
7784,748,44.0507642,20.001884070520784,75.43979713271557,0.138944266273728,0.16568880544473127,2.226379632949829,"{""type"":""Point"",""coordinates"":[75.43979713271557,20.001884070520784]}"
7785,749,42.968960870000046,20.00895685528878,75.46415089463996,-0.015544041450777202,0.22603151690123902,1.8123949766159058,"{""type"":""Point"",""coordinates"":[75.46415089463996,20.00895685528878]}"
7786,514,42.143509040000026,19.819093019009355,75.17334210735721,0.05329512893982808,0.11395819285232636,1.6849992275238037,"{""type"":""Point"",""coordinates"":[75.17334210735721,19.819093019009355]}"
7787,535,41.77778090000004,19.87639959206362,75.1548271205925,0.004440177607104284,0.18092526690391458,1.1854074001312256,"{""type"":""Point"",""coordinates"":[75.1548271205925,19.87639959206362]}"
7788,605,47.43973103000002,19.81672731183056,75.338287106066,0.05548780487804878,0.1081435555025635,6.865983486175537,"{""type"":""Point"",""coordinates"":[75.338287106066,19.81672731183056]}"
7789,552,44.53783205000002,19.804993654712653,75.47904446365632,-0.11301528485409912,0.38601297764960346,5.012732982635498,"{""type"":""Point"",""coordinates"":[75.47904446365632,19.804993654712653]}"
7790,737,40.419117949999986,19.816145190955524,75.34917011938235,0.028810895756940808,0.3608338226658837,3.9649503231048584,"{""type"":""Point"",""coordinates"":[75.34917011938235,19.816145190955524]}"
7791,765,49.04620043,19.974976855727274,75.26119960718245,0.022520268241417275,0.2064237183446572,1.5512936115264893,"{""type"":""Point"",""coordinates"":[75.26119960718245,19.974976855727274]}"
7792,590,46.64845939999998,19.912979082899263,75.23315022997059,0.08110236220472442,0.1864277544796035,12.896565437316895,"{""type"":""Point"",""coordinates"":[75.23315022997059,19.912979082899263]}"
7793,551,45.52393082000003,19.790073071581,75.2993839114669,0.05056500399497774,0.16661991584852734,7.451862812042236,"{""type"":""Point"",""coordinates"":[75.2993839114669,19.790073071581]}"
7794,582,45.71363093000002,19.86272238402356,75.5730770521767,0.062083666400213164,0.21351413468168237,2.8680877685546875,"{""type"":""Point"",""coordinates"":[75.5730770521767,19.86272238402356]}"
7795,515,40.91473085000001,19.809320753170816,75.19247578253912,0.09997868258367086,0.22164351851851852,1.6680595874786377,"{""type"":""Point"",""coordinates"":[75.19247578253912,19.809320753170816]}"
7796,597,41.88715754000003,19.869327447011443,75.3792193585263,0.0862259562237453,0.09410986101919258,195.57894897460938,"{""type"":""Point"",""coordinates"":[75.3792193585263,19.869327447011443]}"
7797,598,45.006100790000005,19.88106923251418,75.49819761851697,0.038765902033456874,0.12987165901330508,51.75777053833008,"{""type"":""Point"",""coordinates"":[75.49819761851697,19.88106923251418]}"
7798,582,47.53030855999998,19.755579415879854,75.42070750703348,0.1019633880299725,0.20015211053365445,2.625930070877075,"{""type"":""Point"",""coordinates"":[75.42070750703348,19.755579415879854]}"
7799,588,41.37958157000003,19.839135047961705,75.34852316023527,0.052352691818567186,0.14508899987194263,46.20600128173828,"{""type"":""Point"",""coordinates"":[75.34852316023527,19.839135047961705]}"
7800,534,40.962583129999985,19.861596917556785,75.17836924989771,-0.05074309978768578,0.39546031298463274,2.618605852127075,"{""type"":""Point"",""coordinates"":[75.17836924989771,19.861596917556785]}"
7801,731,46.063977980000004,20.00036691875775,75.38081371493237,0.05173356666302089,0.26958559086249817,1.7020771503448486,"{""type"":""Point"",""coordinates"":[75.38081371493237,20.00036691875775]}"
7802,591,46.84499555000002,19.862355476104458,75.55309968617584,0.12633785722167054,0.2687069379907066,4.337228775024414,"{""type"":""Point"",""coordinates"":[75.55309968617584,19.862355476104458]}"
7803,546,45.51367676000001,19.88179096144796,75.2070806784339,0.08193404814889743,0.2725743129556927,3.4396262168884277,"{""type"":""Point"",""coordinates"":[75.2070806784339,19.88179096144796]}"
7804,752,49.00860221000005,19.9737410880308,75.33339502765983,0.16064044109850492,0.1677238530756749,3.0808768272399902,"{""type"":""Point"",""coordinates"":[75.33339502765983,19.9737410880308]}"
7805,562,47.64823024999998,19.78827963666733,75.31433017087417,0.06572637517630465,0.11740890688259109,8.102441787719727,"{""type"":""Point"",""coordinates"":[75.31433017087417,19.78827963666733]}"
