Elevation,LST,LandCover,Latitude,Longitude,NDBI,NDVI,Population,LandCover_Name,LandCover_Bare_sparse_vegetation,LandCover_Built-up land,LandCover_Cropland,LandCover_Grassland,LandCover_Permanent_water_bodies,LandCover_Shrubland,LandCover_Tree cover
582,41.65815020000002,40,19.8765767317563,75.43078181909942,-0.2038121711506006,0.4678610337731509,6.958602428436279,Cropland,0,0,1,0,0,0,0
519,40.28410616000002,40,19.83283101093728,75.1909556038546,-0.0775634517766497,0.3527912312006118,16.795652389526367,Cropland,0,0,1,0,0,0,0
708,47.37478865000003,40,19.999484618522224,75.51900328203327,0.1116064320967998,0.1550403643138066,1.885847449302673,Cropland,0,0,1,0,0,0,0
595,42.56563451,40,19.9164965609538,75.56779053714129,0.0796836465685857,0.3252510409012981,2.550316095352173,Cropland,0,0,1,0,0,0,0
696,47.21926874000002,30,19.933252666055115,75.47746929082453,0.1406797116374871,0.1472569778633301,2.9778361320495605,Grassland,0,0,0,1,0,0,0
555,44.522450960000015,10,19.77203708163873,75.5053430513328,-0.0549645390070922,0.4185967302452316,10.226028442382812,Tree cover,0,0,0,0,0,0,1
624,46.93728209000005,60,19.927721819474232,75.2467333352268,0.0708024275118004,0.073208722741433,4.355506420135498,Bare_sparse_vegetation,1,0,0,0,0,0,0
616,44.68480691000002,20,19.78928547209728,75.39435131213523,0.078628152543852,0.2026426700079735,2.333538055419922,Shrubland,0,0,0,0,0,1,0
548,44.76683939000003,40,19.88507369486887,75.27797842156713,0.1128074639525021,0.181678134949163,21.818010330200195,Cropland,0,0,1,0,0,0,0
691,37.918836320000025,40,20.022150429814445,75.27264509340199,-0.1189251000571755,0.4460591133004926,2.3971962928771973,Cropland,0,0,1,0,0,0,0
694,37.36340806999999,40,20.02407508066573,75.27791621212646,0.0116380059058537,0.235881841876629,1.7046692371368408,Cropland,0,0,1,0,0,0,0
617,41.56928168000002,40,19.924218122709767,75.41231096642878,-0.1626824245680007,0.473839518783339,3.574028491973877,Cropland,0,0,1,0,0,0,0
693,37.13098271000001,40,20.01096443689024,75.26593976534319,-0.1518526017412431,0.4846033402922756,6.551032543182373,Cropland,0,0,1,0,0,0,0
699,42.08882072000006,40,20.00183602591056,75.23558428149748,0.0093457943925233,0.1997942033956439,1.5414175987243652,Cropland,0,0,1,0,0,0,0
654,43.56369634999999,20,19.77887356279685,75.4208776360273,0.0741582317702953,0.3055636469560151,2.458948135375977,Shrubland,0,0,0,0,0,1,0
587,47.17312547000006,40,19.88011124495436,75.45732637215744,0.052757793764988,0.1758452051881777,5.676646709442139,Cropland,0,0,1,0,0,0,0
775,45.21630902000004,30,19.81087815889914,75.35281107967631,0.1187679457060819,0.1738525730180806,3.460800170898437,Grassland,0,0,0,1,0,0,0
682,39.335605610000016,10,20.038580512484057,75.41867063140745,-0.0358876725368872,0.3452837186302386,3.467292070388794,Tree cover,0,0,0,0,0,0,1
724,45.25048922000002,30,19.99332189215228,75.24647137528687,0.0603560573165436,0.1186353062806926,1.3203588724136353,Grassland,0,0,0,1,0,0,0
732,42.22383251000002,20,19.94867238535853,75.45986266898994,0.0305395317271801,0.2576207769340816,2.648577213287353,Shrubland,0,0,0,0,0,1,0
578,44.46263561000001,30,19.84506909000011,75.41265465025927,0.0797628156082632,0.2279224093925472,6.579767227172852,Grassland,0,0,0,1,0,0,0
511,40.608818059999976,20,19.72788582814481,75.31631469424607,-0.1077849948225548,0.3834940042323066,3.623491764068604,Shrubland,0,0,0,0,0,1,0
569,41.15228324000003,40,19.895996551576985,75.5843044848912,-0.043407970253011,0.2303879515775426,2.730133056640625,Cropland,0,0,1,0,0,0,0
613,49.20342935000002,30,19.7630184165478,75.37685611726691,0.1372010527520311,0.162862430598396,2.0186612606048584,Grassland,0,0,0,1,0,0,0
745,46.69460267,40,20.03152914977733,75.33305469070903,0.1098020280057943,0.1515302935665209,1.6095484495162964,Cropland,0,0,1,0,0,0,0
510,38.88784499000002,40,19.793384491576663,75.23911640751469,-0.0249087395318874,0.3080295971499041,4.789198398590088,Cropland,0,0,1,0,0,0,0
502,41.98969814000003,40,19.781111900527524,75.18387381406595,-0.0905699965030889,0.3672365921379512,2.905630826950073,Cropland,0,0,1,0,0,0,0
716,38.16835178000002,40,20.006651649434435,75.20087081502807,-0.1535116128435273,0.453421942404104,12.08513069152832,Cropland,0,0,1,0,0,0,0
560,46.19728076000001,40,19.837419029930626,75.44012734150492,0.0645471033820548,0.1913043478260869,5.530525207519531,Cropland,0,0,1,0,0,0,0
559,43.02023116999999,40,19.83322143380296,75.50757234502726,-0.176301409260857,0.5341335333833458,2.7628743648529053,Cropland,0,0,1,0,0,0,0
711,46.63307831000003,40,19.97825530806029,75.20357293842065,0.1018567082765131,0.2074460583838668,3.492258310317993,Cropland,0,0,1,0,0,0,0
692,37.86585701000001,40,20.00911324476185,75.23733217766927,0.0007924827351975,0.2204092920353982,2.117396354675293,Cropland,0,0,1,0,0,0,0
577,43.685036060000016,40,19.868518978590675,75.47224647085902,-0.0765341300850379,0.2530765115034778,29.507583618164062,Cropland,0,0,1,0,0,0,0
499,38.139298610000026,40,19.773988189527525,75.20158537146742,-0.0212295987237697,0.2964636236173859,4.296408176422119,Cropland,0,0,1,0,0,0,0
728,43.170624050000015,40,20.02980060104667,75.21654786690445,0.0682640708848121,0.1519827187162475,1.6820600032806396,Cropland,0,0,1,0,0,0,0
670,45.611090330000025,40,19.97674552102492,75.29826139715823,0.0810981382139476,0.1479632063074901,1.540067195892334,Cropland,0,0,1,0,0,0,0
719,39.29458937000004,40,19.99735111204186,75.1856823055495,-0.0361717389076749,0.2687578419071518,12.316561698913574,Cropland,0,0,1,0,0,0,0
727,44.785638500000005,40,20.01459586301511,75.4972546739433,0.1169040580489115,0.0975283901135604,1.75361168384552,Cropland,0,0,1,0,0,0,0
819,45.80249945000003,50,19.97986084031741,75.44255579134399,0.1356765942223414,0.1647583463902615,2.0507731437683105,Built-up land,0,1,0,0,0,0,0
523,36.87121319000005,40,19.84366983406855,75.19331688336185,-0.1195117507742758,0.4239369713822268,9.908784866333008,Cropland,0,0,1,0,0,0,0
587,45.24536219000004,50,19.833105776069463,75.31970500663283,0.0576056743026933,0.1572504708097928,16.17604637145996,Built-up land,0,1,0,0,0,0,0
570,46.41432502999999,40,19.922765135848085,75.19612610205705,0.0634046129423849,0.237049827331031,5.0777587890625,Cropland,0,0,1,0,0,0,0
509,41.85810436999998,40,19.77435410672896,75.25594316806603,0.0908509277031349,0.2032176121930567,1.5714706182479858,Cropland,0,0,1,0,0,0,0
529,41.32489325000006,40,19.85138657133462,75.25817276993288,-0.0336293217457018,0.2778231928062595,78.762451171875,Cropland,0,0,1,0,0,0,0
583,40.718194700000026,10,19.911543380828185,75.57361332275657,0.0312709030100334,0.1836943195749897,3.3481380939483643,Tree cover,0,0,0,0,0,0,1
724,44.59935641000004,40,20.025012847758006,75.2143952275759,0.0712341623650868,0.2145311732940598,1.621151089668274,Cropland,0,0,1,0,0,0,0
714,42.112746860000016,40,19.996186021167336,75.20412875320952,-0.003470883146934,0.2005536757920639,7.1390557289123535,Cropland,0,0,1,0,0,0,0
595,34.65120920000004,80,20.01770208387503,75.15657092316975,-0.0784186649384316,0.0684931506849315,7.367082118988037,Permanent_water_bodies,0,0,0,0,1,0,0
524,42.387897469999984,30,19.843126324818883,75.18774095137009,0.0522243713733075,0.1577841953268574,4.352631092071533,Grassland,0,0,0,1,0,0,0
544,42.63741292999998,40,19.874749325684267,75.1922706537737,0.0397278580974365,0.1916176692296095,2.022847890853882,Cropland,0,0,1,0,0,0,0
514,36.88488527000004,40,19.816253786222592,75.20469635828874,-0.0537257357545397,0.2837961550198352,3.420796632766724,Cropland,0,0,1,0,0,0,0
709,48.14384315000001,30,19.84770029959138,75.57319509202676,0.1551515151515151,0.1568464730290456,2.2794559001922607,Grassland,0,0,0,1,0,0,0
538,40.83269837,40,19.78517789469237,75.5189161979527,-0.024159529592228,0.2985413290113452,3.381354570388794,Cropland,0,0,1,0,0,0,0
597,46.89455684000001,30,19.88118324916796,75.55082856602688,0.0909441233140655,0.1685448916408668,3.433712720870972,Grassland,0,0,0,1,0,0,0
628,48.49931723000003,40,19.75643965079996,75.43291017972419,0.0763836714249937,0.1742729781362768,2.746519088745117,Cropland,0,0,1,0,0,0,0
708,39.64493642000002,10,19.801977430713368,75.33799573753458,0.0370535714285714,0.2391210685049547,2.946483850479126,Tree cover,0,0,0,0,0,0,1
607,48.47710010000003,40,19.83009245749494,75.38215341160858,0.110228744065602,0.1728296734554557,5.589292049407959,Cropland,0,0,1,0,0,0,0
557,42.77242472,10,19.895644575643875,75.27412988833174,0.0022874571101791,0.2196201794244436,26.654497146606445,Tree cover,0,0,0,0,0,0,1
721,44.96508455000003,40,20.00573274126,75.19734695438186,0.0929374266062741,0.1134678747940692,16.852577209472656,Cropland,0,0,1,0,0,0,0
692,36.60460763000003,40,20.0190723962398,75.24596567884583,-0.2633240482822656,0.6304373876572799,1.975155115127564,Cropland,0,0,1,0,0,0,0
594,48.40361267000003,30,19.916694867995595,75.23722376298397,0.1313131313131313,0.1491008991008991,6.052584171295166,Grassland,0,0,0,1,0,0,0
592,42.333209150000016,30,19.76266446844092,75.41162702879,-0.1472260341109586,0.3183149357963505,2.703760862350464,Grassland,0,0,0,1,0,0,0
590,47.465366180000046,40,19.84729514011196,75.39007766808597,-0.0477128474502079,0.2863092838909042,10.231341361999512,Cropland,0,0,1,0,0,0,0
651,44.34813194000003,30,19.907056287981728,75.49476685034513,0.1764033164967121,0.1610909579470643,12.20258617401123,Grassland,0,0,0,1,0,0,0
501,44.39085719000002,50,19.75362107142313,75.25764581924653,0.1024480214621059,0.1781666116430064,3.055224657058716,Built-up land,0,1,0,0,0,0,0
607,40.03459070000002,10,19.881962359337795,75.36848922056585,-0.0211321581079601,0.4015629696423204,188.1534118652344,Tree cover,0,0,0,0,0,0,1
583,41.083922840000014,50,19.87310528761973,75.33938701742763,0.0437820214252445,0.1584144449146565,181.5261993408203,Built-up land,0,1,0,0,0,0,0
736,44.63353661000002,40,19.978607133298546,75.23507965707024,0.008957654723127,0.2182182182182182,1.4564756155014038,Cropland,0,0,1,0,0,0,0
712,45.65039755999999,30,19.76370751266924,75.44164046473975,0.0891481913652275,0.1965052115266707,2.6507785320281982,Grassland,0,0,0,1,0,0,0
755,41.48041316000001,20,20.020387900969084,75.50448246364385,0.0771111337475807,0.2989247311827957,1.5322126150131226,Shrubland,0,0,0,0,0,1,0
558,40.50627745999998,10,19.83993328557018,75.50532613520551,0.0345966958211856,0.3176813901047884,4.620358943939209,Tree cover,0,0,0,0,0,0,1
561,44.70189701000004,30,19.80558563580411,75.29280320481558,0.0681047229712098,0.1742656729504603,7.845327854156494,Grassland,0,0,0,1,0,0,0
596,41.50604830999998,40,19.9014817099422,75.41005428982744,-0.1705723298783235,0.4568143578238923,6.817969799041748,Cropland,0,0,1,0,0,0,0
545,40.89422273000002,40,19.882341861970147,75.2505714043576,-0.2150170648464164,0.5612233121754183,6.333640098571777,Cropland,0,0,1,0,0,0,0
669,47.16799844000002,60,19.942222825389702,75.26702422708607,0.0806919308069193,0.0973979470040582,3.307227611541748,Bare_sparse_vegetation,1,0,0,0,0,0,0
629,43.15011593000003,20,19.90417293869877,75.52746457142146,0.090003180324393,0.2390300230946882,6.370859622955322,Shrubland,0,0,0,0,0,1,0
628,47.03982269000005,60,19.96072194638395,75.20601479950298,0.070889117748026,0.1078591895210806,1.6685614585876465,Bare_sparse_vegetation,1,0,0,0,0,0,0
792,47.16799844000002,30,20.03637639207968,75.47016746340034,0.1182795698924731,0.1614463380930446,1.6631406545639038,Grassland,0,0,0,1,0,0,0
728,46.58009900000002,30,19.77630488017197,75.35724538575025,0.1007174643538279,0.158264124459001,1.5205203294754028,Grassland,0,0,0,1,0,0,0
709,46.527119690000006,30,20.021871695894912,75.37913599336713,0.1747143691101659,0.1720952268151131,1.6093571186065674,Grassland,0,0,0,1,0,0,0
712,39.93717713000001,20,20.006184934036977,75.1873908264765,-0.0364199000238038,0.2404558404558404,17.54778289794922,Shrubland,0,0,0,0,0,1,0
587,44.33445986000004,50,19.87546421529077,75.3925898447536,0.1606682363493665,0.1432498472816127,118.0232162475586,Built-up land,0,1,0,0,0,0,0
581,43.813211809999984,40,19.85276582121475,75.39768517182819,-0.0604795650907678,0.2105496453900709,9.335535049438477,Cropland,0,0,1,0,0,0,0
