Latitude,Longitude,Zone_ID,Baseline_Predicted_LST_C,Greening_Predicted_LST_C,Cool_Surface_Predicted_LST_C,Greening_Cooling_C,Cool_Surface_Cooling_C,Best_Cooling_C,Recommended_Intervention,Population,Heat_Category
20.007379283196126,75.5214920800231,14_18,46.50948,45.333908,46.33187,1.1755714,0.17760849,1.1755714,Urban greening,1.7100216150283811,Very High
19.7837972417323,75.29684977314511,3_7,40.884075,40.254414,40.76344,0.62966156,0.12063599,0.62966156,Urban greening,11.20502471923828,High
20.037222212744272,75.46392099110864,15_16,45.336395,45.644913,45.296185,-0.30851746,0.040210724,0.040210724,Cool/permeable surfaces,1.801013708114624,High
19.77877412109036,75.42763056757659,2_14,45.700058,45.760582,46.15862,-0.060523987,-0.45856094,-0.060523987,Urban greening,2.817734479904175,High
19.88586650795008,75.27994564527671,8_6,43.568737,43.17041,43.456497,0.39832687,0.11223984,0.39832687,Urban greening,30.159894943237305,Moderate
19.869216494847755,75.4157582643546,7_13,43.622425,44.021114,43.294895,-0.39868927,0.3275299,0.3275299,Cool/permeable surfaces,55.884464263916016,High
20.03337330363646,75.41826326061356,15_13,39.650387,39.628147,39.960247,0.022239685,-0.30986023,0.022239685,Urban greening,2.983194351196289,Low
19.73897750794399,75.36855149340518,0_11,46.657314,45.394173,45.899677,1.2631416,0.757637,1.2631416,Urban greening,1.3507050275802612,Very High
19.957660256866493,75.19729476607452,11_2,44.017803,43.701492,43.48309,0.31631088,0.53471375,0.53471375,Cool/permeable surfaces,2.399365425109864,Moderate
19.9196868267954,75.33499612120966,9_9,43.623234,43.60845,43.14585,0.014781952,0.47738266,0.47738266,Cool/permeable surfaces,39.11120223999024,High
19.862726538758764,75.17275883210594,6_1,42.3684,42.56029,42.338806,-0.19189072,0.029594421,0.029594421,Cool/permeable surfaces,1.671676516532898,Moderate
19.84988428248438,75.38960326963922,6_12,42.746048,42.06798,42.656807,0.67806625,0.08924103,0.67806625,Urban greening,9.412408828735352,High
19.97440788864229,75.36434048240659,12_11,44.29761,43.29078,44.125538,1.0068321,0.17207336,1.0068321,Urban greening,12.21340274810791,High
19.95604766381931,75.57328200782618,11_21,46.981705,46.622173,46.640205,0.3595314,0.34149933,0.3595314,Urban greening,2.126736879348755,Very High
19.93239662681021,75.4889430630332,10_17,42.954525,44.097713,43.077255,-1.1431885,-0.122730255,-0.122730255,Cool/permeable surfaces,2.476051092147827,High
19.855388183260025,75.26648077106876,6_6,41.736423,41.954826,41.266537,-0.21840286,0.46988678,0.46988678,Cool/permeable surfaces,39.880401611328125,Moderate
19.91818157590316,75.5193764415852,9_18,42.728176,43.186607,43.10729,-0.45843124,-0.37911224,-0.37911224,Cool/permeable surfaces,2.7936034202575684,Moderate
19.96607815975121,75.19536255807472,12_2,45.355824,44.25679,44.46436,1.0990334,0.89146423,1.0990334,Urban greening,1.718847155570984,High
19.811038028427944,75.44629772196502,4_15,40.77923,41.301895,42.045364,-0.52266693,-1.2661362,-0.52266693,Urban greening,2.66389536857605,Low
19.97330344415245,75.24161731057939,12_4,45.54646,44.685818,45.475376,0.8606415,0.07108307,0.8606415,Urban greening,1.3428055047988892,High
19.84653275848945,75.4980641207038,6_17,44.867176,44.54404,44.721077,0.32313538,0.14609909,0.32313538,Urban greening,3.2630515098571777,High
20.028826527374587,75.44738011772534,15_15,42.89518,42.350784,42.587257,0.54439545,0.30792236,0.54439545,Urban greening,2.0113630294799805,Low
20.01550129375685,75.20766279254718,14_3,38.853893,39.666107,39.53764,-0.8122139,-0.68374634,-0.68374634,Cool/permeable surfaces,2.203986406326294,Low
19.99940842946249,75.21436280934051,13_3,39.180046,41.478092,40.21449,-2.298046,-1.0344429,-1.0344429,Cool/permeable surfaces,2.119001865386963,Low
19.754203052910004,75.4001154549545,1_12,40.21247,40.81547,40.57311,-0.60300064,-0.36063766,-0.36063766,Cool/permeable surfaces,1.4505707025527954,Low
19.94452696114657,75.38899726092352,11_12,44.61035,43.44861,43.57993,1.1617432,1.0304222,1.1617432,Urban greening,4.476342678070068,Moderate
20.034372639704728,75.15168524259924,15_0,41.678307,40.050747,41.818596,1.6275597,-0.1402893,1.6275597,Urban greening,7.054245948791504,Moderate
19.744376200621907,75.28805816652313,1_7,37.968838,38.11505,38.101013,-0.14621353,-0.13217545,-0.13217545,Cool/permeable surfaces,14.017889022827148,Low
19.87414092961098,75.4340972887208,7_14,46.20199,45.24323,45.83931,0.9587593,0.36267853,0.9587593,Urban greening,6.866347789764404,Very High
19.8977154259964,75.57725866817015,8_21,43.101894,43.09821,43.325584,0.0036849976,-0.22369003,0.0036849976,Urban greening,3.180884838104248,Moderate
19.92727030676769,75.15939203777606,10_0,42.86235,43.117413,42.97039,-0.2550621,-0.108039856,-0.108039856,Cool/permeable surfaces,1.5803698301315308,Low
20.02123865322549,75.411426727894,14_13,46.32545,45.720085,46.601902,0.60536575,-0.2764511,0.60536575,Urban greening,3.130953073501587,High
19.87832577507028,75.22086705085684,7_3,46.48794,45.753044,46.4598,0.7348976,0.028141022,0.7348976,Urban greening,6.062869071960449,Very High
19.8398027361689,75.21491916184429,5_3,41.277355,41.529705,41.523415,-0.25234985,-0.24605942,-0.24605942,Cool/permeable surfaces,25.990673065185547,Low
19.858062225328005,75.23865518122707,6_4,43.39088,43.55011,43.17131,-0.15922928,0.21957016,0.21957016,Cool/permeable surfaces,16.285961151123047,Moderate
20.04066124784645,75.281186497019,15_6,38.485016,38.310345,38.964424,0.17467117,-0.47940826,0.17467117,Urban greening,1.2570966482162476,Low
19.9407385040831,75.234103351548,10_4,46.974724,46.064632,46.633446,0.9100914,0.34127808,0.9100914,Urban greening,6.656544208526611,Very High
20.040751386436742,75.48444616609652,15_17,44.164444,43.332436,43.57216,0.83200836,0.59228516,0.83200836,Urban greening,1.4910763502120972,Very High
20.02203924613981,75.49104563492831,14_17,46.62865,45.996174,46.433334,0.6324768,0.19531631,0.6324768,Urban greening,1.7296968698501587,Very High
20.03606875621476,75.26930462365542,15_6,42.747597,42.977528,43.09552,-0.22993088,-0.34792328,-0.22993088,Urban greening,1.754989743232727,Low
19.94773531356056,75.55270371260545,11_20,46.93278,47.18482,46.96492,-0.25203705,-0.032138824,-0.032138824,Cool/permeable surfaces,2.8472235202789307,Very High
19.73823917617842,75.29450522146703,0_7,42.523376,42.919106,43.00272,-0.39572906,-0.4793434,-0.39572906,Urban greening,25.865598678588867,Moderate
19.80939069357945,75.56577997456971,4_21,47.719162,46.568943,47.29488,1.150219,0.42428207,1.150219,Urban greening,2.6383321285247803,Very High
20.01599677203914,75.42890645074984,14_14,45.503716,45.553528,45.40526,-0.049812317,0.09845734,0.09845734,Cool/permeable surfaces,2.804537057876587,High
19.896975125356143,75.48351372309143,8_17,42.40806,42.319317,42.361923,0.0887413,0.04613495,0.0887413,Urban greening,9.817158699035645,High
19.783558397956515,75.52841129089938,3_19,41.46537,41.10782,41.63762,0.35755157,-0.17224884,0.35755157,Urban greening,3.103219509124756,Moderate
19.89024270845889,75.25534953528339,8_5,42.568417,42.283966,42.436684,0.28445053,0.13173294,0.28445053,Urban greening,5.874529838562012,High
19.827958502408173,75.35737736734505,5_10,45.340828,43.21705,45.2362,2.1237793,0.10462952,2.1237793,Urban greening,18.85093688964844,Very High
19.84648245034773,75.1907913575164,6_2,41.1073,41.059116,40.651443,0.04818344,0.45585632,0.45585632,Cool/permeable surfaces,4.811222076416016,Moderate
19.96540832737869,75.2897168530249,12_7,42.188507,42.824543,42.45784,-0.6360359,-0.2693329,-0.2693329,Cool/permeable surfaces,3.155104398727417,Low
19.83202628534072,75.18475143149175,5_2,38.43493,39.14971,39.19764,-0.7147827,-0.7627106,-0.7147827,Urban greening,3.154749870300293,Low
19.97758442219944,75.21031829115728,12_3,42.286095,42.62088,42.8292,-0.33478546,-0.5431061,-0.33478546,Urban greening,3.4896464347839355,Low
19.927708284503925,75.531108991457,10_19,46.098236,44.67551,45.616417,1.4227257,0.48181915,1.4227257,Urban greening,2.407431602478028,Very High
19.99894974624691,75.23131463637208,13_4,38.08772,38.230873,38.19792,-0.14315414,-0.11020279,-0.11020279,Cool/permeable surfaces,1.6852662563323977,Low
19.96349190569604,75.17283435141928,12_1,46.189022,45.715694,45.8907,0.47332764,0.29832077,0.47332764,Urban greening,1.275693416595459,Very High
19.774347257424544,75.52304379038944,2_19,42.43821,42.89928,42.49268,-0.461071,-0.054470062,-0.054470062,Cool/permeable surfaces,2.9853811264038086,Moderate
19.99722910356363,75.52051995447262,13_18,45.88219,45.28806,45.317753,0.59413147,0.56443787,0.59413147,Urban greening,1.95974862575531,Very High
